title,price,ratings,# of reviews
PlayStation®5 console (slim),$499.99,4.5 out of 5 stars,"7,788 ratings"
PlayStation®5 Console – Call of Duty® Modern Warfare® III Bundle,$499.99,4.7 out of 5 stars,"1,726 ratings"
PlayStation 5 (Slim) - (Renewed Premium),$449.99,4.5 out of 5 stars,8 ratings
PlayStation 5 Digital Edition (Renewed),$429.99,3.8 out of 5 stars,112 ratings
PlayStation 5 Console - Marvel’s Spider-Man 2 Bundle (slim) (Renewed),$467.99,4.5 out of 5 stars,9 ratings
PlayStation Portal Remote Player - PlayStation 5,$199.00,4.5 out of 5 stars,"1,525 ratings"
PlayStation®5 Digital Edition (slim) (Renewed),$419.99,4.5 out of 5 stars,12 ratings
PlayStation 5 Console (PS5),$440.00,4.8 out of 5 stars,"8,317 ratings"
PlayStation DualSense® Wireless Controller - Midnight Black,$69.99,4.5 out of 5 stars,"36,313 ratings"
PlayStation®5 console (slim) with EA SPORTS College Football 25,$567.17,4.8 out of 5 stars,9 ratings
Sony PlayStation 5 Disc Version (Renewed),$449.99,4.5 out of 5 stars,66 ratings
PlayStation 5 Console - Marvel’s Spider-Man 2 Bundle (slim),$569.94,4.1 out of 5 stars,"7,788 ratings"
"Playstation 5 Disc Version PS5 Console - 4K-TV Gaming, 120Hz 8K Output, 16GB GDDR6, 825GB SSD, WiFi 6, Bluetooth .5.1",$596.00,4.1 out of 5 stars,
PlayStation PS5 Console – God of War Ragnarök Bundle,$493.97,4.8 out of 5 stars,"13,450 ratings"
PlayStation®5 Console – Call of Duty® Modern Warfare® III Bundle (Renewed),$499.99,4.5 out of 5 stars,7 ratings
$150 PlayStation Store Gift Card [Digital Code],$150.00,4.7 out of 5 stars,"251,764 ratings"
$250 PlayStation Store Gift Card [Digital Code],$250.00,4.7 out of 5 stars,"251,764 ratings"
PlayStation 4 500GB Console (Renewed),$169.99,4.4 out of 5 stars,"1,319 ratings"
Sony Playstation Portable (PSP) 3000 Series Handheld Gaming Console System - White (Renewed),$154.99,4.4 out of 5 stars,881 ratings
Xbox 360 250GB Slim Console - (Renewed),$154.99,4.4 out of 5 stars,831 ratings
Nintendo Wii Console (Black) - (Renewed),$109.99,4.5 out of 5 stars,737 ratings
"Sony Playstation 3 160GB CECH-3001A, Console Only (Renewed)",$168.99,4.4 out of 5 stars,377 ratings
Sony Playstation Portable (PSP) 2000 Series Handheld Gaming Console System (Renewed) (Pearl White),$169.95,4.4 out of 5 stars,283 ratings
PlayStation 3 Slim Console 120GB (Old Model) (Renewed),$134.29,4.5 out of 5 stars,277 ratings
"Carrying Case for PlayStation Portal, EVA Hard Shell Case for PS5 Portal, Portable Carry Case Compatible with PlayStation Portal Remote Player, Soft Interior Lining for Ps Portal Accessories",$18.96,4.6 out of 5 stars,149 ratings
"CASEMATIX Travel Case Compatible With PS5 Slim & PlayStation 5 Slim Digital Edition - Hard Shell Waterproof Case with Custom Foam for Console, Controllers, Stand, Cables and Game",$109.99,4.4 out of 5 stars,586 ratings
Glamgen Carrying Case for PS5 Travel Case for Playstation 5 Console PS5 Games Gaming Headset Console Dock and Accessory Organizer,$46.90,4.3 out of 5 stars,47 ratings
